Local Body,Ward Number,Ward Name
Kavalangad,1,NELLIMATTAM NORTH
Kavalangad,2,PERUMANNUR
Kavalangad,3,UPPUKULAM
Kavalangad,4,OONNUKAL
Kavalangad,5,TADIKKULAM
Kavalangad,6,VILLAMCHIRA
Kavalangad,7,AVOLICHAL
Kavalangad,8,NERYAMANGALAM NORTH
Kavalangad,9,CHEMBANKUZHY
Kavalangad,10,NEENDAPARA
Kavalangad,11,NERYAMANGALAM SOUTH
Kavalangad,12,TALAKKODU
Kavalangad,13,ALLUNKAL
Kavalangad,14,TENKODU
Kavalangad,15,PAREEKKANNY
Kavalangad,16,KAVALANGAD SOUTH
Kavalangad,17,NELLIMATTAM SOUTH
Kavalangad,18,KANNADIKODE
Kavalangad,19,MARAMANGALAM
Keerampara,1,CHENKARA
Keerampara,2,PUNNEKKAD NORTH
Keerampara,3,KOORIKULAM
Keerampara,4,VELIYELCHAL
Keerampara,5,PALAMATTAM NORTH
Keerampara,6,PALAMATTAM SOUTH
Keerampara,7,MUTTATHUKANDAM
Keerampara,8,NADUKANI
Keerampara,9,CHEMBIKKOD
Keerampara,10,PUNNEKKAD SOUTH
Keerampara,11,PARAD
Keerampara,12,OONJAPPARA
Keerampara,13,KEERAMPARA
Keerampara,14,KARIYILAPPARA
Kottapady,1,PLAMUDY
Kottapady,2,KALLUMALA
Kottapady,3,MUTTATHUPARA
Kottapady,4,CHELACKAPPILLY
Kottapady,5,UPPUKANDAM
Kottapady,6,VADASSERY
Kottapady,7,MUNTHOOR
Kottapady,8,NAGANCHERY
Kottapady,9,PANIPRA
Kottapady,10,THURANKAM
Kottapady,11,KOLLIPPARAMBU
Kottapady,12,PARACHALIPPARA
Kottapady,13,CHERANGANAL
Kottapady,14,KOTTAPPADY
Kottapady,15,KOTTAPPADY WEST
Kuttampuzha,1,EDAMALAYAR
Kuttampuzha,2,KALLELIMEDU
Kuttampuzha,3,MANIKANDANCHAL
Kuttampuzha,4,POOYAMKUTTY
Kuttampuzha,5,KUTTIYAMCHAL
Kuttampuzha,6,THALIPPARA
Kuttampuzha,7,MAMALAKANDAM
Kuttampuzha,8,INCHATHOTTY
Kuttampuzha,9,PINAVOORKUDY
Kuttampuzha,10,URULANTHANNY
Kuttampuzha,11,ANAKKAYAM
Kuttampuzha,12,KUTTAMPUZHA
Kuttampuzha,13,THATTEKKADU
Kuttampuzha,14,THUNDATHIL
Kuttampuzha,15,VADATTUPARA
Kuttampuzha,16,POIKA
Kuttampuzha,17,ARATTUCHIRA
Nellikuzhy,1,PAZHURMOLAM
Nellikuzhy,2,IRUMALAPPADY
Nellikuzhy,3,PANCHAYAT WARD
Nellikuzhy,4,IDANAD
Nellikuzhy,5,CHIRALADU
Nellikuzhy,6,TRIKKARIYOOR
Nellikuzhy,7,TRIKKARIYOOR EAST
Nellikuzhy,8,THANKALAM
Nellikuzhy,9,MAAVIN CHUVADU
Nellikuzhy,10,ILAMBRA
Nellikuzhy,11,THATTUPARAMBU
Nellikuzhy,12,SADHAMNAGAR
Nellikuzhy,13,CHIRAPPADY
Nellikuzhy,14,NELLIKUZHY
Nellikuzhy,15,KAMBANYPPADY
Nellikuzhy,16,SOCIETYPADDY
Nellikuzhy,17,IRAMALUR
Nellikuzhy,18,M M KAVALA
Nellikuzhy,19,KOTTEPEEDIKA
Nellikuzhy,20,OORAMKUZHY
Nellikuzhy,21,CHERUVATUR KAVALA
Nellikuzhy,22,KANJIRAKKATU MOLAM
Nellikuzhy,23,POOVATHUR
Nellikuzhy,24,KUTTILANJI
Pallarimangalam,1,MADIYOOR
Pallarimangalam,2,PALLIKKUNNU
Pallarimangalam,3,EETTIPPARA
Pallarimangalam,4,VELLARAMATTOM
Pallarimangalam,5,MANIKKINAR
Pallarimangalam,6,VALACHIRA
Pallarimangalam,7,PAIMATTOM
Pallarimangalam,8,KOOVALLOOR
Pallarimangalam,9,KURUPPUKANDAM
Pallarimangalam,10,PALLARIMANGALAM
Pallarimangalam,11,MAVUDI
Pallarimangalam,12,ADIVAD SOUTH
Pallarimangalam,13,ADIVAD
Pallarimangalam,14,PULIKKUNNEPPADI
Pindimana,1,VETTAMPARA
Pindimana,2,BHOOTHATHANKETTU
Pindimana,3,NADODY
Pindimana,4,PAZHANGARA
Pindimana,5,CHELAD
Pindimana,6,PADAMMALY
Pindimana,7,PINDIMANA
Pindimana,8,AYAKKAD
Pindimana,9,PULIMALA
Pindimana,10,AYIROORPADAM
Pindimana,11,ADIYODI
Pindimana,12,MUTHAMKUZHY
Pindimana,13,VETTILAPPARA
Pindimana,14,MALIPPARA
Varapetty,1,KOZHIPPILLY
Varapetty,2,KUDAMUNDA
Varapetty,3,PARACHALIPPADI
Varapetty,4,PIDAVOOR
Varapetty,5,VATTAKKUDIPPEEDIKA
Varapetty,6,VARAPPETTY
Varapetty,7,MYLOOR
Varapetty,8,KAKKATTOOR
Varapetty,9,ELANGAVAM
Varapetty,10,COMMUNITTY HALL
Varapetty,11,SANGAMAM
Varapetty,12,ETTAM MILE
Varapetty,13,PANCHAYAT OFFICE
Varapetty,14,INCHOOR
Varapetty,15,PARATHARAKKADAVU
Kothamangalam Municipality,1,THANGALAM
Kothamangalam Municipality,2,BLOCK OFFICE
Kothamangalam Municipality,3,RAMALLOOR
Kothamangalam Municipality,4,KARINGAZHA
Kothamangalam Municipality,5,CHELADU
Kothamangalam Municipality,6,KALLADU
Kothamangalam Municipality,7,ELAVUMPARAMBU
Kothamangalam Municipality,8,VALADITHANDU
Kothamangalam Municipality,9,KOMENTHA
Kothamangalam Municipality,10,KUMBALATHUMURI
Kothamangalam Municipality,11,MALIKAKANDAM
Kothamangalam Municipality,12,PARAYITHOTTAM
Kothamangalam Municipality,13,KUTHUKUZHI
Kothamangalam Municipality,14,MARAMANGALAM
Kothamangalam Municipality,15,ELAMKAVU
Kothamangalam Municipality,16,VALIYAKAVU
Kothamangalam Municipality,17,AYYANKAVU
Kothamangalam Municipality,18,KOZHIPPILLY
Kothamangalam Municipality,19,ANGADY
Kothamangalam Municipality,20,COLLEGE
Kothamangalam Municipality,21,MATHIRAPPILLY
Kothamangalam Municipality,22,KARUKADAM EAST
Kothamangalam Municipality,23,PUTHUPPADY
Kothamangalam Municipality,24,KARAKKUNNAM
Kothamangalam Municipality,25,CHIRAPPADY
Kothamangalam Municipality,26,AMBALAPPADY
